date,value,is_forecast,series_id,model
2020-10-01,0.5300000000000001,False,E-coli__Amikacin__East Midlands,lgbm
2020-11-01,0.92,False,E-coli__Amikacin__East Midlands,lgbm
2020-12-01,0.93,False,E-coli__Amikacin__East Midlands,lgbm
2021-01-01,0.5300000000000001,False,E-coli__Amikacin__East Midlands,lgbm
2021-02-01,0.17,False,E-coli__Amikacin__East Midlands,lgbm
2021-03-01,0.94,False,E-coli__Amikacin__East Midlands,lgbm
2021-04-01,1.59,False,E-coli__Amikacin__East Midlands,lgbm
2021-05-01,1.65,False,E-coli__Amikacin__East Midlands,lgbm
2021-06-01,1.93,False,E-coli__Amikacin__East Midlands,lgbm
2021-07-01,1.64,False,E-coli__Amikacin__East Midlands,lgbm
2021-08-01,2.07,False,E-coli__Amikacin__East Midlands,lgbm
2021-09-01,1.85,False,E-coli__Amikacin__East Midlands,lgbm
2021-10-01,1.52,False,E-coli__Amikacin__East Midlands,lgbm
2021-11-01,1.17,False,E-coli__Amikacin__East Midlands,lgbm
2021-12-01,0.72,False,E-coli__Amikacin__East Midlands,lgbm
2022-01-01,1.9,False,E-coli__Amikacin__East Midlands,lgbm
2022-02-01,2.43,False,E-coli__Amikacin__East Midlands,lgbm
2022-03-01,2.79,False,E-coli__Amikacin__East Midlands,lgbm
2022-04-01,1.99,False,E-coli__Amikacin__East Midlands,lgbm
2022-05-01,1.93,False,E-coli__Amikacin__East Midlands,lgbm
2022-06-01,1.8,False,E-coli__Amikacin__East Midlands,lgbm
2022-07-01,1.94,False,E-coli__Amikacin__East Midlands,lgbm
2022-08-01,1.42,False,E-coli__Amikacin__East Midlands,lgbm
2022-09-01,1.08,False,E-coli__Amikacin__East Midlands,lgbm
2022-10-01,1.26,False,E-coli__Amikacin__East Midlands,lgbm
2022-11-01,1.7600000000000002,False,E-coli__Amikacin__East Midlands,lgbm
2022-12-01,2.72,False,E-coli__Amikacin__East Midlands,lgbm
2023-01-01,2.72,False,E-coli__Amikacin__East Midlands,lgbm
2023-02-01,2.33,False,E-coli__Amikacin__East Midlands,lgbm
2023-03-01,1.23,False,E-coli__Amikacin__East Midlands,lgbm
2023-04-01,1.75,False,E-coli__Amikacin__East Midlands,lgbm
2023-05-01,1.94,False,E-coli__Amikacin__East Midlands,lgbm
2023-06-01,3.62,False,E-coli__Amikacin__East Midlands,lgbm
2023-07-01,3.63,False,E-coli__Amikacin__East Midlands,lgbm
2023-08-01,3.4499999999999997,False,E-coli__Amikacin__East Midlands,lgbm
2023-09-01,2.85,False,E-coli__Amikacin__East Midlands,lgbm
2023-10-01,3.04,False,E-coli__Amikacin__East Midlands,lgbm
2023-11-01,3.71,False,E-coli__Amikacin__East Midlands,lgbm
2023-12-01,2.9100000000000006,False,E-coli__Amikacin__East Midlands,lgbm
2024-01-01,1.9599999999999997,False,E-coli__Amikacin__East Midlands,lgbm
2024-02-01,2.9,False,E-coli__Amikacin__East Midlands,lgbm
2024-03-01,3.15,False,E-coli__Amikacin__East Midlands,lgbm
2024-04-01,4.35,False,E-coli__Amikacin__East Midlands,lgbm
2024-05-01,3.3800000000000003,False,E-coli__Amikacin__East Midlands,lgbm
2024-06-01,4.17,False,E-coli__Amikacin__East Midlands,lgbm
2024-07-01,3.54,False,E-coli__Amikacin__East Midlands,lgbm
2024-08-01,2.94,False,E-coli__Amikacin__East Midlands,lgbm
2024-09-01,2.37,False,E-coli__Amikacin__East Midlands,lgbm
2024-10-01,2.29,False,E-coli__Amikacin__East Midlands,lgbm
2024-11-01,3.29,False,E-coli__Amikacin__East Midlands,lgbm
2024-12-01,3.42,False,E-coli__Amikacin__East Midlands,lgbm
2025-01-01,3.0300000000000002,False,E-coli__Amikacin__East Midlands,lgbm
2025-02-01,2.1,False,E-coli__Amikacin__East Midlands,lgbm
2025-03-01,3.0999999999999996,False,E-coli__Amikacin__East Midlands,lgbm
2025-04-01,4.03,False,E-coli__Amikacin__East Midlands,lgbm
2025-05-01,4.89,False,E-coli__Amikacin__East Midlands,lgbm
2025-06-01,4.42,False,E-coli__Amikacin__East Midlands,lgbm
2025-07-01,3.253837332509262,True,E-coli__Amikacin__East Midlands,lgbm
2025-08-01,3.192692620526707,True,E-coli__Amikacin__East Midlands,lgbm
2025-09-01,3.154078634356133,True,E-coli__Amikacin__East Midlands,lgbm
2025-10-01,3.0589616108651043,True,E-coli__Amikacin__East Midlands,lgbm
2025-11-01,3.1304839922534278,True,E-coli__Amikacin__East Midlands,lgbm
2025-12-01,3.3128757685825434,True,E-coli__Amikacin__East Midlands,lgbm
2020-10-01,2.02,False,E-coli__Amikacin__East of England,lgbm
2020-11-01,1.05,False,E-coli__Amikacin__East of England,lgbm
2020-12-01,1.0,False,E-coli__Amikacin__East of England,lgbm
2021-01-01,1.19,False,E-coli__Amikacin__East of England,lgbm
2021-02-01,2.39,False,E-coli__Amikacin__East of England,lgbm
2021-03-01,2.6799999999999997,False,E-coli__Amikacin__East of England,lgbm
2021-04-01,3.9,False,E-coli__Amikacin__East of England,lgbm
2021-05-01,3.25,False,E-coli__Amikacin__East of England,lgbm
2021-06-01,3.21,False,E-coli__Amikacin__East of England,lgbm
2021-07-01,2.35,False,E-coli__Amikacin__East of England,lgbm
2021-08-01,2.99,False,E-coli__Amikacin__East of England,lgbm
2021-09-01,3.63,False,E-coli__Amikacin__East of England,lgbm
2021-10-01,3.03,False,E-coli__Amikacin__East of England,lgbm
2021-11-01,2.18,False,E-coli__Amikacin__East of England,lgbm
2021-12-01,2.22,False,E-coli__Amikacin__East of England,lgbm
2022-01-01,2.71,False,E-coli__Amikacin__East of England,lgbm
2022-02-01,2.9,False,E-coli__Amikacin__East of England,lgbm
2022-03-01,2.85,False,E-coli__Amikacin__East of England,lgbm
2022-04-01,2.88,False,E-coli__Amikacin__East of England,lgbm
2022-05-01,2.9099999999999997,False,E-coli__Amikacin__East of England,lgbm
2022-06-01,2.84,False,E-coli__Amikacin__East of England,lgbm
2022-07-01,3.03,False,E-coli__Amikacin__East of England,lgbm
2022-08-01,2.85,False,E-coli__Amikacin__East of England,lgbm
2022-09-01,1.94,False,E-coli__Amikacin__East of England,lgbm
2022-10-01,1.54,False,E-coli__Amikacin__East of England,lgbm
2022-11-01,2.19,False,E-coli__Amikacin__East of England,lgbm
2022-12-01,2.24,False,E-coli__Amikacin__East of England,lgbm
2023-01-01,3.12,False,E-coli__Amikacin__East of England,lgbm
2023-02-01,3.2,False,E-coli__Amikacin__East of England,lgbm
2023-03-01,3.86,False,E-coli__Amikacin__East of England,lgbm
2023-04-01,3.93,False,E-coli__Amikacin__East of England,lgbm
2023-05-01,3.77,False,E-coli__Amikacin__East of England,lgbm
2023-06-01,4.49,False,E-coli__Amikacin__East of England,lgbm
2023-07-01,4.12,False,E-coli__Amikacin__East of England,lgbm
2023-08-01,4.6,False,E-coli__Amikacin__East of England,lgbm
2023-09-01,4.81,False,E-coli__Amikacin__East of England,lgbm
2023-10-01,5.5,False,E-coli__Amikacin__East of England,lgbm
2023-11-01,4.79,False,E-coli__Amikacin__East of England,lgbm
2023-12-01,4.01,False,E-coli__Amikacin__East of England,lgbm
